Sexo,Edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Mujeres,16,2704,2833,2967,3106,3248,3391,3533,3672,3809,3943,4078,4205,4326,4449,4578,4710,4841,4967,5086,5192,5280,5359,5417,5445,5469,5500,5533,5580,5632,5684,5731,5734,5748,5763,5779,5782,5791,5883,5983,6068,6142,6173,6204,6221,6245,6279,6325
Mujeres,17,2554,2680,2810,2943,3082,3224,3367,3510,3650,3787,3922,4048,4166,4285,4407,4533,4663,4792,4915,5031,5134,5232,5308,5369,5394,5424,5456,5502,5554,5612,5666,5669,5690,5713,5735,5746,5764,5849,5952,6061,6150,6193,6250,6279,6297,6318,6354
Mujeres,18,2407,2528,2655,2784,2917,3055,3197,3340,3483,3624,3761,3888,4004,4121,4238,4357,4481,4608,4733,4854,4967,5080,5175,5253,5310,5341,5371,5417,5469,5529,5588,5593,5618,5648,5677,5693,5720,5814,5912,6028,6142,6200,6271,6326,6356,6372,6394
Mujeres,19,2265,2380,2502,2628,2756,2888,3026,3168,3312,3455,3595,3724,3842,3956,4071,4186,4303,4424,4548,4671,4788,4910,5022,5117,5192,5255,5285,5329,5381,5441,5502,5508,5537,5570,5607,5630,5663,5766,5875,5987,6109,6190,6276,6345,6403,6431,6448
Mujeres,20,2162,2238,2354,2475,2600,2728,2860,2999,3141,3286,3429,3561,3681,3796,3909,4022,4134,4249,4367,4488,4608,4734,4855,4966,5059,5138,5199,5244,5295,5355,5416,5420,5451,5487,5528,5557,5597,5706,5826,5949,6067,6155,6266,6351,6423,6478,6508
Mujeres,21,2048,2138,2215,2330,2450,2574,2702,2835,2973,3116,3260,3395,3518,3636,3751,3862,3973,4083,4195,4312,4431,4559,4685,4804,4913,5009,5086,5164,5214,5273,5333,5336,5364,5400,5444,5477,5523,5639,5765,5899,6030,6111,6229,6338,6427,6496,6554
Mujeres,22,1941,2024,2115,2191,2306,2426,2550,2678,2811,2950,3092,3228,3355,3478,3595,3709,3818,3928,4037,4148,4263,4389,4517,4641,4759,4869,4963,5057,5139,5197,5255,5257,5282,5315,5360,5396,5444,5566,5698,5837,5977,6068,6181,6298,6412,6498,6570
Mujeres,23,1845,1922,2006,2095,2172,2286,2406,2530,2659,2792,2930,3065,3194,3320,3442,3559,3671,3780,3888,3996,4106,4227,4354,4479,4602,4721,4829,4942,5040,5129,5187,5187,5209,5238,5277,5314,5364,5488,5626,5769,5914,6012,6136,6247,6369,6481,6571
Mujeres,24,1756,1828,1905,1988,2078,2155,2269,2390,2514,2643,2776,2908,3037,3165,3291,3412,3528,3639,3747,3855,3962,4077,4199,4323,4449,4572,4688,4816,4931,5036,5123,5124,5142,5167,5202,5236,5285,5411,5548,5695,5844,5944,6077,6199,6315,6435,6551
Mujeres,25,1675,1740,1812,1889,1973,2063,2140,2255,2376,2501,2630,2757,2884,3013,3141,3267,3387,3503,3614,3722,3830,3941,4057,4175,4300,4424,4545,4682,4813,4934,5037,5070,5086,5106,5136,5165,5209,5333,5471,5616,5768,5871,6007,6137,6264,6378,6502
Mujeres,26,1599,1662,1729,1800,1878,1961,2052,2130,2245,2366,2492,2616,2738,2864,2993,3122,3247,3368,3483,3595,3703,3812,3925,4037,4157,4280,4403,4546,4686,4822,4942,4992,5036,5054,5078,5103,5141,5259,5394,5537,5686,5791,5930,6062,6198,6322,6440
Mujeres,27,1531,1589,1653,1719,1791,1868,1953,2043,2122,2238,2359,2480,2600,2723,2849,2979,3107,3233,3354,3470,3582,3691,3802,3911,4025,4142,4263,4410,4555,4700,4835,4903,4963,5008,5029,5049,5081,5193,5320,5458,5604,5707,5847,5982,6120,6252,6380
Mujeres,28,1475,1523,1581,1645,1712,1784,1862,1947,2039,2118,2234,2352,2470,2590,2713,2840,2969,3099,3225,3347,3463,3574,3685,3793,3904,4016,4132,4278,4426,4575,4720,4803,4879,4938,4986,5003,5029,5133,5252,5381,5521,5622,5760,5896,6036,6171,6306
Mujeres,29,1417,1469,1519,1577,1641,1708,1781,1860,1945,2037,2117,2230,2344,2463,2583,2707,2834,2964,3094,3221,3343,3458,3571,3679,3789,3898,4010,4151,4298,4449,4599,4692,4782,4857,4919,4963,4986,5083,5193,5312,5441,5537,5672,5805,5946,6082,6217
Mujeres,30,1361,1413,1466,1515,1574,1639,1706,1780,1858,1945,2037,2114,2224,2340,2458,2580,2704,2832,2963,3093,3220,3340,3457,3568,3679,3787,3896,4032,4175,4325,4477,4576,4674,4764,4841,4899,4949,5040,5141,5250,5369,5456,5585,5714,5850,5986,6123
Mujeres,31,1310,1360,1412,1465,1515,1574,1639,1707,1781,1860,1947,2037,2111,2223,2338,2457,2579,2704,2832,2963,3094,3219,3341,3457,3571,3680,3789,3922,4059,4204,4355,4457,4560,4658,4749,4823,4886,5001,5095,5194,5302,5381,5500,5623,5755,5886,6022
Mujeres,32,1265,1310,1360,1413,1466,1516,1575,1640,1708,1783,1862,1947,2035,2110,2222,2338,2458,2580,2705,2834,2966,3095,3222,3344,3462,3575,3685,3817,3951,4091,4237,4338,4444,4546,4645,4733,4811,4937,5055,5146,5244,5315,5423,5536,5661,5788,5919
Mujeres,33,1223,1265,1311,1361,1414,1467,1517,1577,1643,1711,1786,1864,1947,2035,2111,2223,2340,2460,2582,2708,2838,2968,3099,3226,3350,3468,3582,3714,3847,3983,4124,4221,4326,4431,4534,4631,4723,4861,4989,5104,5193,5255,5354,5457,5571,5691,5816
Mujeres,34,1185,1225,1267,1313,1363,1416,1469,1520,1579,1646,1714,1787,1864,1947,2036,2112,2224,2341,2462,2584,2710,2839,2972,3103,3233,3357,3476,3611,3744,3880,4018,4110,4210,4314,4419,4521,4621,4770,4909,5034,5147,5204,5293,5385,5488,5596,5713
Mujeres,35,1153,1189,1229,1271,1316,1366,1419,1473,1523,1583,1648,1715,1788,1865,1948,2038,2114,2226,2343,2464,2587,2713,2845,2978,3112,3242,3367,3506,3642,3777,3914,4004,4099,4198,4303,4408,4512,4665,4815,4952,5075,5158,5239,5321,5413,5509,5614
Mujeres,36,1123,1157,1193,1232,1274,1319,1369,1422,1476,1526,1585,1650,1716,1789,1866,1950,2039,2116,2228,2346,2466,2591,2720,2852,2987,3121,3252,3396,3537,3675,3812,3901,3993,4088,4188,4292,4399,4553,4708,4855,4991,5086,5191,5265,5346,5431,5523
Mujeres,37,1095,1127,1161,1197,1235,1277,1322,1372,1424,1477,1526,1585,1650,1716,1789,1867,1950,2040,2117,2230,2347,2470,2597,2726,2860,2996,3131,3280,3425,3568,3708,3798,3889,3981,4076,4176,4283,4436,4592,4744,4891,5000,5115,5213,5286,5361,5442
Mujeres,38,1069,1100,1132,1165,1200,1238,1279,1324,1373,1425,1477,1526,1585,1650,1717,1790,1867,1951,2041,2118,2231,2351,2477,2604,2735,2869,3006,3158,3308,3456,3601,3694,3786,3878,3970,4066,4168,4317,4472,4626,4777,4899,5027,5136,5233,5300,5370
Mujeres,39,1042,1073,1103,1135,1167,1202,1239,1280,1323,1372,1423,1475,1525,1584,1649,1716,1789,1868,1952,2042,2119,2236,2358,2484,2613,2743,2879,3031,3184,3337,3487,3586,3682,3774,3867,3960,4058,4200,4350,4504,4658,4786,4924,5044,5152,5242,5304
Mujeres,40,1015,1048,1078,1108,1138,1170,1203,1240,1279,1322,1368,1420,1474,1524,1583,1648,1716,1789,1867,1952,2042,2123,2241,2364,2491,2619,2751,2902,3056,3211,3366,3472,3573,3669,3763,3856,3952,4086,4230,4379,4533,4664,4806,4937,5056,5157,5243
Mujeres,41,982,1018,1051,1080,1109,1138,1169,1201,1237,1275,1316,1364,1418,1471,1522,1581,1647,1714,1788,1866,1951,2046,2128,2247,2371,2498,2627,2773,2925,3080,3238,3350,3458,3560,3657,3752,3848,3977,4113,4256,4406,4537,4680,4816,4947,5061,5157
Mujeres,42,958,985,1021,1052,1081,1108,1137,1166,1197,1231,1268,1311,1362,1415,1469,1520,1579,1645,1712,1786,1864,1953,2050,2132,2252,2376,2504,2647,2794,2948,3106,3222,3336,3445,3547,3646,3742,3870,4001,4137,4281,4409,4551,4688,4823,4948,5058
Mujeres,43,928,961,987,1021,1051,1079,1105,1132,1160,1190,1222,1261,1308,1359,1413,1467,1517,1577,1643,1710,1784,1867,1958,2054,2138,2257,2382,2522,2666,2815,2970,3089,3208,3323,3432,3536,3637,3763,3892,4024,4160,4282,4419,4555,4692,4822,4944
Mujeres,44,907,930,962,987,1020,1049,1075,1100,1125,1152,1180,1215,1259,1306,1357,1410,1465,1515,1575,1641,1708,1787,1871,1962,2058,2141,2261,2398,2539,2685,2836,2954,3075,3194,3310,3421,3527,3655,3783,3912,4044,4159,4288,4420,4556,4689,4815
Mujeres,45,885,907,929,960,983,1016,1043,1068,1092,1116,1141,1173,1213,1257,1303,1354,1408,1462,1513,1572,1638,1710,1790,1874,1965,2061,2144,2276,2413,2556,2703,2819,2939,3061,3181,3298,3411,3543,3673,3802,3932,4042,4162,4287,4418,4550,4679
Mujeres,46,862,883,904,925,955,978,1008,1035,1059,1081,1103,1133,1170,1211,1254,1300,1351,1405,1459,1509,1569,1639,1713,1792,1877,1967,2064,2158,2290,2429,2573,2688,2805,2926,3048,3169,3288,3425,3559,3690,3820,3927,4042,4159,4283,4411,4539
Mujeres,47,841,861,881,900,920,950,971,1000,1026,1048,1068,1096,1131,1169,1209,1252,1298,1349,1402,1456,1506,1571,1642,1715,1795,1878,1969,2076,2171,2304,2444,2557,2673,2791,2912,3036,3159,3300,3439,3574,3706,3813,3925,4036,4153,4274,4399
Mujeres,48,815,835,855,875,893,912,941,961,990,1014,1035,1061,1095,1130,1167,1207,1249,1295,1345,1398,1451,1507,1572,1643,1717,1796,1880,1981,2088,2183,2318,2429,2543,2659,2778,2900,3024,3169,3313,3453,3589,3698,3808,3917,4029,4142,4261
Mujeres,49,788,807,827,846,865,884,902,930,950,978,1001,1028,1060,1094,1129,1165,1205,1247,1293,1342,1395,1454,1510,1574,1646,1718,1797,1891,1991,2099,2195,2303,2415,2530,2646,2766,2890,3034,3181,3325,3466,3578,3691,3798,3908,4018,4130
Mujeres,50,760,779,799,818,837,856,874,893,920,939,966,996,1029,1061,1094,1128,1164,1202,1244,1288,1337,1395,1455,1510,1576,1646,1719,1806,1900,2001,2109,2180,2289,2401,2516,2634,2755,2897,3044,3192,3338,3455,3571,3680,3788,3896,4003
Mujeres,51,731,749,768,787,807,826,844,862,881,908,927,960,995,1028,1060,1092,1126,1161,1199,1240,1284,1339,1398,1456,1512,1576,1646,1727,1815,1908,2010,2095,2167,2276,2388,2504,2622,2761,2905,3053,3202,3324,3444,3557,3668,3774,3880
Mujeres,52,705,720,738,757,776,796,815,834,853,871,899,923,961,996,1028,1059,1091,1123,1158,1195,1235,1285,1341,1398,1457,1511,1574,1653,1734,1821,1916,1996,2082,2154,2262,2375,2491,2627,2768,2913,3063,3187,3312,3430,3544,3653,3758
Mujeres,53,679,692,708,726,745,765,786,805,825,844,863,895,925,962,996,1027,1057,1088,1120,1154,1190,1236,1287,1341,1398,1455,1509,1580,1658,1739,1827,1902,1982,2068,2140,2249,2362,2495,2633,2774,2921,3046,3174,3296,3415,3527,3634
Mujeres,54,655,665,679,695,713,734,755,776,797,817,837,861,896,925,962,995,1026,1055,1085,1116,1148,1191,1238,1287,1340,1396,1452,1514,1585,1663,1744,1813,1888,1968,2053,2126,2234,2364,2499,2638,2781,2904,3031,3156,3279,3396,3507
Mujeres,55,632,640,651,666,683,702,724,746,768,790,812,835,862,897,925,961,994,1023,1052,1081,1111,1150,1193,1238,1286,1338,1392,1456,1517,1588,1666,1730,1799,1873,1953,2039,2111,2237,2368,2505,2645,2764,2889,3014,3139,3261,3376
Mujeres,56,610,617,626,639,654,672,693,716,739,763,786,811,836,862,896,924,959,991,1020,1047,1075,1112,1150,1192,1236,1282,1333,1396,1459,1520,1591,1653,1716,1785,1859,1939,2024,2114,2241,2374,2511,2627,2747,2869,2995,3118,3237
Mujeres,57,589,596,604,614,628,644,664,686,710,735,760,785,810,835,861,895,921,956,988,1016,1042,1077,1112,1149,1189,1231,1275,1334,1397,1460,1521,1576,1638,1701,1770,1844,1923,2026,2116,2245,2378,2491,2609,2727,2850,2973,3094
Mujeres,58,568,575,583,592,604,619,637,658,681,707,734,759,784,809,834,859,892,919,953,984,1011,1043,1076,1109,1144,1182,1221,1275,1334,1396,1460,1506,1562,1623,1686,1754,1827,1924,2028,2119,2248,2357,2472,2587,2705,2826,2947
Mujeres,59,548,556,565,573,583,596,613,632,654,679,706,732,757,782,807,831,856,890,916,950,980,1011,1041,1072,1104,1136,1172,1221,1275,1333,1395,1445,1492,1547,1607,1669,1737,1828,1925,2030,2122,2227,2337,2449,2564,2680,2798
Mujeres,60,526,536,546,555,564,576,590,608,628,652,678,704,729,754,779,804,828,853,886,912,946,979,1008,1036,1065,1094,1125,1171,1220,1273,1330,1380,1430,1476,1530,1590,1652,1737,1828,1927,2032,2100,2205,2313,2425,2537,2650
Mujeres,61,503,515,526,536,546,557,570,585,603,625,650,675,699,724,749,774,799,823,848,882,908,943,973,1001,1027,1053,1080,1122,1168,1217,1269,1316,1365,1414,1459,1512,1572,1651,1737,1829,1928,2009,2078,2180,2287,2396,2505
Mujeres,62,480,493,506,517,528,539,551,565,581,601,623,646,669,694,719,745,770,795,820,845,879,904,937,965,991,1015,1039,1078,1119,1164,1211,1253,1300,1348,1396,1441,1494,1571,1651,1737,1829,1904,1985,2051,2153,2258,2363
Mujeres,63,459,472,486,498,510,522,534,547,561,579,599,619,640,663,688,714,739,765,791,816,842,872,896,927,954,977,998,1035,1073,1113,1157,1196,1237,1283,1330,1378,1422,1492,1569,1649,1735,1803,1878,1956,2022,2120,2221
Mujeres,64,437,450,464,477,490,504,516,529,542,557,575,593,611,633,656,682,708,734,761,787,813,834,863,885,914,938,960,994,1030,1067,1107,1142,1180,1221,1265,1312,1358,1419,1489,1566,1646,1708,1776,1848,1925,1988,2083
Mujeres,65,416,430,443,456,470,484,497,510,523,537,552,567,584,603,625,649,675,702,729,757,784,803,823,851,871,897,920,954,987,1021,1057,1090,1125,1162,1202,1245,1291,1354,1415,1485,1561,1618,1680,1745,1816,1890,1950
Mujeres,66,398,411,423,436,450,464,478,491,504,517,530,544,558,575,595,618,642,669,697,725,753,772,791,809,835,854,878,913,946,977,1010,1041,1073,1107,1143,1182,1224,1286,1349,1409,1477,1531,1587,1647,1711,1780,1851
Mujeres,67,378,391,403,415,428,442,456,470,483,496,509,521,534,549,566,587,610,635,663,691,720,739,758,775,793,817,835,871,904,935,965,994,1023,1054,1087,1122,1160,1218,1278,1340,1399,1447,1500,1554,1613,1675,1740
Mujeres,68,356,370,382,394,407,420,434,448,462,475,488,500,511,525,540,558,578,602,628,656,685,704,723,741,758,775,798,825,860,891,920,948,976,1005,1034,1067,1101,1153,1209,1269,1328,1368,1415,1467,1520,1576,1635
Mujeres,69,333,348,362,374,385,398,411,424,438,452,465,476,488,501,514,530,548,570,594,620,649,668,687,706,724,740,757,788,813,846,875,903,930,957,984,1013,1044,1091,1142,1197,1254,1296,1335,1381,1431,1482,1536
Mujeres,70,309,325,340,353,364,376,389,401,414,428,441,453,465,478,490,504,520,539,561,585,612,631,651,670,689,706,723,745,774,798,828,857,884,910,935,962,989,1033,1079,1128,1181,1222,1263,1300,1345,1393,1441
Mujeres,71,284,301,317,330,343,355,366,378,390,403,416,429,442,454,467,480,494,510,529,551,575,593,613,633,653,671,689,709,729,757,779,810,839,865,889,914,939,978,1020,1064,1111,1149,1189,1229,1265,1308,1353
Mujeres,72,259,275,291,306,319,332,344,355,366,378,390,403,417,430,443,455,468,482,499,518,539,556,575,595,616,635,655,673,691,710,736,760,791,818,842,865,889,924,962,1002,1043,1077,1115,1153,1192,1226,1266
Mujeres,73,235,251,266,282,296,309,321,332,343,354,366,378,392,406,419,431,443,456,470,486,505,520,538,558,578,599,620,637,654,671,688,717,740,769,795,818,840,873,907,943,980,1011,1044,1080,1117,1154,1186
Mujeres,74,213,227,242,256,271,285,298,309,320,330,340,352,366,380,393,406,418,430,443,456,472,486,503,521,541,563,584,600,617,632,648,669,697,719,746,770,792,823,854,886,920,948,978,1009,1044,1079,1113
Mujeres,75,193,205,218,231,246,260,274,286,297,308,317,328,341,354,367,380,392,403,415,427,440,453,468,485,505,526,548,563,579,594,609,629,649,675,695,721,744,774,803,833,864,888,915,943,974,1006,1038
Mujeres,76,175,185,195,208,221,235,249,262,273,284,294,304,316,328,341,353,365,377,388,399,410,422,436,452,470,490,511,525,540,555,569,589,608,626,651,670,694,725,753,781,808,831,855,881,908,936,965
Mujeres,77,159,167,175,186,197,210,224,237,249,261,271,281,292,303,315,327,338,350,361,371,381,393,405,420,436,454,475,488,502,516,531,549,568,585,602,625,643,674,702,729,755,776,798,820,844,869,894
Mujeres,78,144,150,158,166,175,187,199,212,224,236,247,257,268,279,289,300,311,322,333,343,353,364,376,390,405,421,440,451,464,478,493,510,528,545,561,577,598,622,652,679,703,723,744,764,785,807,829
Mujeres,79,130,136,141,148,155,165,176,187,199,211,222,233,244,254,264,274,284,294,304,314,324,336,348,361,375,390,407,416,427,440,454,471,488,504,519,534,549,577,599,627,652,672,690,709,728,746,765
Mujeres,80,758,797,837,872,908,957,1006,1062,1121,1190,1259,1340,1431,1523,1618,1709,1797,1888,1976,2067,2153,2282,2419,2555,2690,2823,2958,3043,3139,3242,3362,3482,3613,3746,3876,4017,4148,4324,4501,4686,4864,5039,5204,5359,5512,5655,5781
