Sexo,edad,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Hombres,12,0.001852,0.001367,0.001419,0.001453,0.001426,0.001348,0.001291,0.001214,0.001123,0.001061,0.001007,0.000931,0.000872,0.000809,0.000767,0.000752,0.000717,0.000702,0.000702,0.000682,0.000651,0.000614,0.000592,0.000572,0.000558,0.000552,0.000534,0.000518,0.000501,0.000473,0.00044,0.000421,0.000415,0.000411,0.000398,0.000404,0.000397,0.000404,0.000418,0.000428,0.000431,0.000416,0.000399,0.00039,0.000386,0.000386
Hombres,13,0.001932,0.001427,0.001488,0.001531,0.001512,0.001443,0.001393,0.001321,0.001231,0.001171,0.00112,0.001043,0.000982,0.000915,0.000869,0.000852,0.000811,0.000793,0.000797,0.000775,0.000741,0.000702,0.000678,0.000657,0.000642,0.000636,0.000614,0.000595,0.000578,0.000546,0.00051,0.000489,0.000483,0.00048,0.000467,0.000475,0.00047,0.00048,0.0005,0.000515,0.00052,0.000506,0.000486,0.000476,0.000469,0.000467
Hombres,14,0.002051,0.001527,0.001599,0.001651,0.00164,0.001577,0.001537,0.001468,0.001376,0.001319,0.001271,0.001191,0.001127,0.001053,0.001003,0.000984,0.000934,0.000914,0.000919,0.000895,0.000859,0.000815,0.000789,0.000766,0.000749,0.000743,0.000717,0.000695,0.000675,0.000641,0.000599,0.000576,0.000571,0.000568,0.000554,0.000566,0.000562,0.000578,0.000606,0.000627,0.000636,0.000621,0.000598,0.000587,0.000577,0.00057
Hombres,15,0.0022,0.001663,0.001746,0.001811,0.001808,0.001751,0.001717,0.001651,0.001559,0.001502,0.001456,0.001373,0.001304,0.001223,0.001165,0.001144,0.001085,0.001062,0.001068,0.001042,0.001002,0.000952,0.000922,0.000899,0.000881,0.000874,0.000843,0.000817,0.000794,0.000754,0.000707,0.000681,0.000676,0.000675,0.00066,0.000675,0.000673,0.000696,0.000734,0.000763,0.000778,0.000761,0.000737,0.000722,0.000708,0.000697
Hombres,16,0.002375,0.001831,0.001926,0.002004,0.00201,0.001958,0.001931,0.001869,0.001773,0.001718,0.001673,0.001584,0.001509,0.001419,0.001355,0.00133,0.001261,0.001232,0.001241,0.001212,0.001167,0.00111,0.001078,0.001051,0.001032,0.001024,0.000988,0.000957,0.000931,0.000885,0.00083,0.000802,0.000797,0.000797,0.00078,0.0008,0.0008,0.000832,0.00088,0.000919,0.00094,0.000924,0.000897,0.000879,0.00086,0.000844
Hombres,17,0.002569,0.002025,0.002135,0.002223,0.002239,0.00219,0.002173,0.002113,0.002014,0.001959,0.001916,0.00182,0.001738,0.001636,0.001564,0.001536,0.001456,0.001422,0.001432,0.0014,0.001349,0.001285,0.001249,0.00122,0.001199,0.001191,0.001149,0.001113,0.001082,0.001029,0.000966,0.000933,0.000928,0.000929,0.000911,0.000935,0.000938,0.000979,0.00104,0.00109,0.001119,0.001103,0.001075,0.001052,0.001028,0.001005
Hombres,18,0.002775,0.00224,0.002364,0.002464,0.002487,0.002443,0.002434,0.002376,0.002275,0.002219,0.002177,0.002073,0.001983,0.00187,0.001789,0.001756,0.001664,0.001624,0.001636,0.0016,0.001543,0.001471,0.001431,0.0014,0.001377,0.001369,0.001321,0.001279,0.001242,0.001182,0.001109,0.001072,0.001067,0.001068,0.001047,0.001077,0.001084,0.001133,0.001207,0.001269,0.001307,0.001291,0.00126,0.001236,0.001206,0.001176
Hombres,19,0.00299,0.002472,0.002608,0.002722,0.00275,0.002709,0.002709,0.002655,0.002547,0.002492,0.00245,0.002336,0.002239,0.002112,0.002021,0.001984,0.001878,0.001834,0.001846,0.001805,0.001742,0.001662,0.001619,0.001585,0.001559,0.001552,0.001497,0.001448,0.001407,0.001336,0.001254,0.001213,0.001208,0.001208,0.001185,0.00122,0.001229,0.001289,0.001376,0.00145,0.001497,0.001482,0.00145,0.001421,0.001385,0.00135
Hombres,20,0.003211,0.002712,0.002863,0.002987,0.003022,0.002982,0.002989,0.002938,0.002825,0.00277,0.002727,0.002604,0.002498,0.002356,0.002256,0.002213,0.002095,0.002044,0.002057,0.002011,0.001941,0.001854,0.001805,0.001769,0.001743,0.001734,0.001673,0.001618,0.001569,0.00149,0.001397,0.001351,0.001345,0.001345,0.001319,0.001359,0.001372,0.00144,0.001541,0.001627,0.001682,0.001668,0.001635,0.001603,0.001562,0.001521
Hombres,21,0.003431,0.002958,0.003121,0.003256,0.003296,0.003255,0.003272,0.003221,0.003104,0.003047,0.003002,0.002869,0.002753,0.002597,0.002486,0.002439,0.002308,0.002249,0.002263,0.002212,0.002135,0.002041,0.001988,0.001949,0.001921,0.001912,0.001845,0.001783,0.001727,0.001638,0.001535,0.001484,0.001475,0.001474,0.001447,0.001491,0.001506,0.001584,0.001697,0.001794,0.001857,0.001844,0.001809,0.001775,0.00173,0.001685
Hombres,22,0.003648,0.003204,0.003379,0.003524,0.003566,0.003528,0.003548,0.0035,0.003375,0.003317,0.003271,0.003125,0.003,0.002832,0.00271,0.002657,0.002513,0.002448,0.002461,0.002405,0.002321,0.002219,0.002163,0.002122,0.00209,0.002082,0.002009,0.001939,0.001877,0.001778,0.001665,0.001607,0.001597,0.001596,0.001564,0.001613,0.001631,0.001716,0.00184,0.001947,0.002018,0.002006,0.00197,0.001933,0.001885,0.001837
Hombres,23,0.003862,0.003446,0.003631,0.003785,0.003832,0.00379,0.003816,0.003769,0.003637,0.003576,0.003527,0.003371,0.003236,0.003053,0.002922,0.002864,0.002707,0.002636,0.002647,0.002586,0.002496,0.002387,0.002327,0.002283,0.002251,0.002242,0.002161,0.002086,0.002016,0.001907,0.001784,0.001721,0.001709,0.001705,0.001671,0.001723,0.001744,0.001836,0.001969,0.002085,0.002162,0.002152,0.002114,0.002075,0.002024,0.001975
Hombres,24,0.00407,0.003683,0.003876,0.00404,0.004089,0.004046,0.004074,0.004026,0.003885,0.003821,0.003768,0.003604,0.003457,0.003262,0.00312,0.003058,0.002889,0.00281,0.002821,0.002755,0.002659,0.002542,0.00248,0.002433,0.002398,0.002388,0.002302,0.00222,0.002143,0.002025,0.001892,0.001824,0.00181,0.001804,0.001767,0.001823,0.001845,0.001942,0.002084,0.002205,0.002289,0.002278,0.002239,0.002199,0.002146,0.002097
Hombres,25,0.004269,0.003912,0.004115,0.004283,0.004332,0.004287,0.004319,0.004267,0.004121,0.004051,0.003995,0.003818,0.003664,0.003455,0.003304,0.003236,0.003056,0.002971,0.002981,0.002908,0.002807,0.002685,0.00262,0.00257,0.002534,0.002523,0.002432,0.002342,0.002259,0.002132,0.00199,0.001916,0.0019,0.001893,0.001853,0.00191,0.001933,0.002035,0.002182,0.002309,0.002398,0.002387,0.002348,0.002305,0.002252,0.002205
Hombres,26,0.004464,0.004132,0.004342,0.004519,0.004568,0.004517,0.00455,0.004496,0.00434,0.004265,0.004204,0.004019,0.003855,0.003635,0.003472,0.003402,0.003211,0.00312,0.003127,0.00305,0.002943,0.002816,0.002748,0.002696,0.002658,0.002646,0.00255,0.002455,0.002363,0.002229,0.002078,0.001999,0.001981,0.001972,0.001928,0.001988,0.002011,0.002117,0.002268,0.002399,0.00249,0.002479,0.002439,0.002396,0.002343,0.002297
Hombres,27,0.004655,0.00434,0.004559,0.004741,0.004792,0.004736,0.004769,0.004709,0.004543,0.004461,0.004398,0.004203,0.00403,0.003798,0.003627,0.003552,0.003352,0.003256,0.003262,0.003178,0.003068,0.002936,0.002865,0.002811,0.002771,0.002759,0.002657,0.002556,0.002459,0.002317,0.002158,0.002075,0.002055,0.002043,0.001998,0.002057,0.002081,0.002187,0.002342,0.002476,0.002568,0.002557,0.002515,0.002472,0.002419,0.002378
Hombres,28,0.004837,0.004542,0.004768,0.004956,0.005004,0.004944,0.004976,0.004909,0.004734,0.004646,0.004577,0.004372,0.004193,0.00395,0.00377,0.003692,0.003484,0.00338,0.003385,0.003297,0.003182,0.003046,0.002974,0.002918,0.002876,0.002863,0.002756,0.00265,0.002548,0.002399,0.002233,0.002146,0.002123,0.002109,0.00206,0.00212,0.002142,0.00225,0.002407,0.002542,0.002635,0.002623,0.002579,0.002535,0.002486,0.002449
Hombres,29,0.005019,0.004739,0.00497,0.005161,0.005207,0.005141,0.005171,0.005097,0.004911,0.004816,0.004744,0.004529,0.004341,0.00409,0.003903,0.00382,0.003604,0.003496,0.0035,0.003409,0.003289,0.003148,0.003075,0.003017,0.002973,0.00296,0.00285,0.00274,0.002632,0.002476,0.002304,0.002213,0.002188,0.002172,0.00212,0.00218,0.0022,0.002309,0.002465,0.0026,0.002693,0.002679,0.002634,0.002591,0.002544,0.002512
Hombres,30,0.005195,0.004927,0.005164,0.005362,0.005405,0.005329,0.005357,0.005277,0.005077,0.004978,0.004899,0.004677,0.004483,0.004221,0.004029,0.003942,0.003718,0.003607,0.003607,0.003513,0.003389,0.003247,0.003172,0.003112,0.003066,0.003053,0.002939,0.002826,0.002715,0.002552,0.002373,0.002278,0.002251,0.002235,0.002179,0.002239,0.002257,0.002364,0.002519,0.002653,0.002746,0.00273,0.002684,0.002641,0.002597,0.002571
Hombres,31,0.005374,0.005116,0.005357,0.005558,0.005598,0.005513,0.005535,0.005447,0.005237,0.005132,0.005049,0.00482,0.004618,0.004347,0.004147,0.004058,0.003829,0.003714,0.003712,0.003614,0.003488,0.003343,0.003267,0.003206,0.003159,0.003145,0.003028,0.002911,0.002796,0.002628,0.002445,0.002346,0.002317,0.002299,0.00224,0.002298,0.002313,0.002419,0.002573,0.002706,0.002797,0.002779,0.002731,0.002688,0.002647,0.002629
Hombres,32,0.005556,0.0053,0.005545,0.005751,0.005788,0.005698,0.005712,0.005615,0.005396,0.005283,0.005192,0.004956,0.00475,0.004469,0.004265,0.004173,0.003937,0.003819,0.003817,0.003717,0.003588,0.00344,0.003362,0.003299,0.003252,0.003238,0.003119,0.002998,0.00288,0.002708,0.002519,0.002417,0.002387,0.002367,0.002305,0.002362,0.002375,0.002477,0.002629,0.00276,0.00285,0.002829,0.002779,0.002737,0.0027,0.002688
